seqname	group	gate-1_norm-percent	gate-2_norm-percent	gate-3_norm-percent	gate-4_norm-percent	gate-5_norm-percent	gate-1_norm-count	gate-2_norm-count	gate-3_norm-count	gate-4_norm-count	gate-5_norm-count	corrected-p	enriched-gate
FP021472_COQ7_1	promoter	25.4902571449334	25.832840221329427	22.389361238282095	10.267110986535446	16.020430408919616	0.8184666666666667	0.8294666666666667	0.7189	0.32966666666666666	0.5144	1.0	0
FP017553_CPNE8_1	promoter	24.53949755608205	30.05528163753175	2.9096497406672213	23.127361208938975	19.368209856780002	1.9161666666666668	2.3468666666666667	0.22719999999999999	1.8059	1.5123666666666666	1.0	0
FP027062_SGK2_1	promoter	20.805717748684554	21.742643593024038	24.711178660407672	16.473157170753296	16.26730282713045	0.7209666666666666	0.7534333333333333	0.8563	0.5708333333333334	0.5637	1.0	0
FP009604_DAXX_1	promoter	19.032275155210694	11.323517370593535	52.96525881293318	2.0344762813010244	14.644472379961565	1.3171666666666666	0.7836666666666667	3.665566666666667	0.1408	1.0135	1.0	0
ENSG00000162882.15(-)-2	enhancer	48.64227961591073	15.610059997020464	19.339897341441283	6.678223654807211	9.729539390820321	1.1972	0.3842	0.476	0.16436666666666666	0.23946666666666666	1.0	0
FP019103_UBAC2_1	promoter	19.287285525736912	38.24176392950493	0.18115473202039284	11.53127507052095	30.758520742216817	1.2421333333333333	2.462833333333333	0.011666666666666665	0.7426333333333334	1.9808999999999999	1.0	0
FP021269_ATP6V0C_4	promoter	26.31450813543013	18.79351020479141	13.38244926586945	26.182926899957685	15.32660549395132	1.5132333333333332	1.0807333333333333	0.7695666666666666	1.5056666666666667	0.8813666666666666	1.0	0
FP023461_MRPL10_2	promoter	36.497655059708734	20.219683879918627	9.792572795287988	19.093601845310545	14.396486419774101	2.8586666666666667	1.5836999999999999	0.767	1.4955	1.1276	1.0	0
FP022904_KCNJ12_1	promoter	2.4039097580525923	55.62300095720589	0.1852154491474642	7.877882318150335	33.909991517443714	0.10296666666666666	2.3825	0.007933333333333334	0.3374333333333333	1.4524666666666666	1.0	0
FP028086_DEPDC5_5	promoter	17.911509460805238	31.99127424479537	13.565229762412862	10.873998197941862	25.657988334044674	0.2518	0.4497333333333333	0.1907	0.15286666666666668	0.3607	1.0	0
ENSG00000256771.4(+)	enhancer	46.45018980199035	14.97281214732738	15.950548886836973	1.5615061044423921	21.06494305940289	1.5091666666666668	0.48646666666666666	0.5182333333333333	0.05073333333333333	0.6844	1.0	0
FP002904_CNST_1	promoter	41.0949410949411	29.308105778694017	0.198582551523728	12.479253655724246	16.919116919116924	2.3522333333333334	1.6775666666666667	0.011366666666666667	0.7143	0.9684333333333334	1.0	0
FP007670_ACSL1_1	promoter	19.396320548799498	28.582475834112874	30.876208294356093	0.3454942313688805	20.79950109136264	0.5183666666666666	0.7638666666666667	0.8251666666666667	0.009233333333333333	0.5558666666666666	1.0	0
FP028571_GEMIN8_1	promoter	27.00653971455787	45.90607465040143	16.792738275340394	7.574702430980798	2.7199449287195128	2.2492666666666667	3.8233333333333333	1.3986	0.6308666666666667	0.22653333333333334	1.0	0
ENSG00000132128.17(-)	enhancer	18.94508264783718	13.005012037252758	32.00714469195983	13.902280208127982	22.140480414822246	2.1142333333333334	1.4513333333333334	3.5719333333333334	1.5514666666666665	2.470833333333333	1.0	0
FP027003_TGIF2_5	promoter	37.90439279737263	24.914748776283176	7.344188446099836	11.686652992915656	18.150016987328712	2.0082	1.32	0.3891	0.6191666666666666	0.9616	1.0	0
FP011350_PDAP1_2	promoter	26.526717557251906	28.11319299868918	31.332408049965306	8.004986249261059	6.022695144832549	1.3760999999999999	1.4584	1.6254	0.4152666666666667	0.31243333333333334	1.0	0
